Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Chile,CHL,70197637237.6619,69813167003.6304,67348703113.2239
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,China,CHN,5365019688253.71,5626544043275.79,5765229685989.56
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Colombia,COL,83739231707.6934,83903717335.0597,71990727241.2887
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Comoros,COM,105133984.927068,109319150.391911,103194623.283889
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,"Congo, Dem. Rep.",COD,19195864860.9235,19984253785.45,20827331247.5505
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,"Congo, Rep.",COG,4264363865.37058,4271465505.03104,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Costa Rica,CRI,12116526076.3523,12084697213.6084,12211009778.7368
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Cote d'Ivoire,CIV,12037568808.601,13290724040.9823,13541597230.3999
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Croatia,HRV,11387201049.3989,11947324791.8775,11765354153.6334
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Cuba,CUB,20021143815.009,19292828247.2277,17719666620.8201
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Curacao,CUW,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Cyprus,CYP,3002005017.77341,3282230359.8851,3072702560.74671
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Czech Republic,CZE,70031363382.2857,71386920067.0766,64804431119.4675
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Denmark,DNK,68464547525.7346,71050968300.6262,70534858597.1078
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Djibouti,DJI,398244451.282507,451650109.372991,431628544.906406
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Dominica,DMA,90178409.6060966,90811408.8120527,62182581.0881284
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Dominican Republic,DOM,24100908031.7314,25539770524.1694,23982858455.6539
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Ecuador,ECU,30863772659.0481,30914068736.5944,27828280463.5384
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,"Egypt, Arab Rep.",EGY,132026998192.695,139631403122.462,140399705597.429
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,El Salvador,SLV,6220314781.09737,6492130691.97912,5836955894.37218
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Equatorial Guinea,GNQ,5716769971.38709,5218849436.26837,4995170599.97334
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Eritrea,ERI,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Estonia,EST,6638376503.97851,6479111476.09375,6217666968.05976
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Eswatini,SWZ,1509988479.10125,1592893213.47795,1438895820.26127
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Ethiopia,ETH,17735364546.9452,19962166706.1109,21885544404.5436
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Faroe Islands,FRO,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Fiji,FJI,837468654.570106,833719491.609543,781930028.214934
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Finland,FIN,58865206412.1094,59280164233.2031,58615566011.7187
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,France,FRA,444960193564.04,453562048402.248,402627151946.654
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,French Polynesia,PYF,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Gabon,GAB,6406424453.14975,6840490404.31895,6690393966.31546
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,"Gambia, The",GMB,277194316.424605,318139743.269189,349681862.702911
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Georgia,GEO,3171998612.79462,3257798637.36316,3035058419.19328
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Germany,DEU,990449442443.21,977583098253.495,905710351041.21
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Ghana,GHA,20491815621.8241,21796286076.4636,21252219909.0958
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Gibraltar,GIB,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Greece,GRC,29406025934.2726,29755987380.7207,30350562024.6519
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Greenland,GRL,473422390.178353,513925097.147346,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Grenada,GRD,168310655.482315,167348675.320955,142547205.675821
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Guam,GUM,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Guatemala,GTM,14704378031.4071,15257465487.4702,15079643075.3668
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Guinea,GIN,3779258901.79537,4074877451.48529,4511608066.4614
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Guinea-Bissau,GNB,149720750.845169,155945705.435329,154861524.211385
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Guyana,GUY,1281998717.98055,1400685373.25779,3679194893.10121
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Haiti,HTI,3966386664.96318,3698401570.46083,3443115163.78381
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Honduras,HND,6069651900.63567,6181127336.56214,5295021156.62365
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,"Hong Kong SAR, China",HKG,22894573282.6365,21429714290.8722,18981195898.072
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Hungary,HUN,35796411087.1453,37390482668.5044,34697863657.1112
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Iceland,ISL,4074442839.76883,4169263401.22469,3912258618.48288
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,India,IND,690881246833.066,681442820008.026,659197676103.833
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Indonesia,IDN,388764749252.44,403576524363.647,392275832889.202
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,"Iran, Islamic Rep.",IRN,143146819118.58,133051324179.719,143484207494.124
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Iraq,IRQ,86897029187.1638,93288155731.483,79109532707.1123
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Ireland,IRL,127240488286.383,130679940523.882,157093764414.431
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Isle of Man,IMN,650455309.396486,617292589.763178,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Israel,ISR,66397627288.7098,67517685605.2486,66780650915.484
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Italy,ITA,412499473381.992,414091957233.906,371554786325.39
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Jamaica,JAM,2918882591.93427,2896993969.15146,2731943330.21531
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Japan,JPN,1366197191992.8,1338731130927.72,1280743087582.87
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Jordan,JOR,10107975401.8855,10251168370.3973,10002285567.7663
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Kazakhstan,KAZ,64251840844.6855,68503910804.7097,70596398916.2749
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Kenya,KEN,14489457660.4045,15062242533.6336,15556706014.1037
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Kiribati,KIR,23319671.8472103,22823843.7594384,16427473.3051489
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,"Korea, Dem. People's Rep.",PRK,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,"Korea, Rep.",KOR,548945881819.666,552692495485.27,548899897237.663
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Kosovo,XKX,1987521277.14505,2015463124.43676,1995671293.10061
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Kuwait,KWT,63675981047.3292,63082855729.4533,55387702932.0413
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Kyrgyz Republic,KGZ,2062124851.4366,2226418759.77751,2006945733.96907
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Lao PDR,LAO,5383851319.81075,5685510026.09539,5910803583.52882
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Latvia,LVA,5761465224.28281,5905201509.75039,5861351341.28711
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Lebanon,LBN,7475176704.04257,6211541042.5001,3425688128.42543
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Lesotho,LSO,814009930.22157,765858272.069813,674113777.405843
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Liberia,LBR,544270815.735052,549462145.609677,550705024.673224
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Libya,LBY,32388244751.8154,28963498884.5883,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Liechtenstein,LIE,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Lithuania,LTU,12260950685.5871,12825228970.5269,12985054302.4215
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Luxembourg,LUX,6880787318.37382,7687186834.84453,7267856423.44882
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,"Macao SAR, China",MAC,2123358566.4518,2240899930.39478,2024971210.19588
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Madagascar,MDG,3113766635.94849,3618498056.42228,3039836924.12902
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Malawi,MWI,1058553091.58832,1139728782.3731,1153405033.60349
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Malaysia,MYS,130765074894.38,134152093201.895,125790807835.104
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Maldives,MDV,623983242.18459,636073834.811289,474601172.577664
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Mali,MLI,2612267585.96746,2708563972.97749,2706680890.58209
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Malta,MLT,1624193959.3201,1795225349.1736,1781231997.71489
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Marshall Islands,MHL,23044300,26552800,25310800
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Mauritania,MRT,1313685881.78952,1387003808.32054,1424654872.1267
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Mauritius,MUS,2396412458.96808,2461884753.30368,1988638348.85746
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Mexico,MEX,353161638788.486,346749277754.36,312798436080.041
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,"Micronesia, Fed. Sts.",FSM,19616837.0839125,19121668.1663412,17218742.3740732
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Moldova,MDA,1988770539.82253,2109067414.63963,2050026658.89213
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Monaco,MCO,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Mongolia,MNG,3933147507.55871,4054430643.93142,3876238560.72945
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Montenegro,MNE,792412344.215816,826104788.412191,737696412.58425
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Morocco,MAR,28339490799.4771,29358641737.1266,28232317689.7483
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Mozambique,MOZ,3509365539.5251,3494516520.1908,3292815632.08402
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Myanmar,MMR,28190817519.3623,30555921968.696,31714563361.0828
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Namibia,NAM,3063920299.02421,2989787417.08725,2597308166.31474
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Nauru,NRU,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Nepal,NPL,3973702362.6905,4266933761.34485,4095255602.2288
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Netherlands,NLD,153306275735.349,154872293266.77,151012721754.21
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,New Caledonia,NCL,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,New Zealand,NZL,41215025366.551,41936923586.5339,41059206750.4664
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Nicaragua,NIC,3460005828.44734,3345921961.63763,3298387017.13359
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Niger,NER,2422606727.16727,2641364071.27937,2686141550.81843
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Nigeria,NGA,93086894603.1482,95239166937.766,89670590152.7134
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,North Macedonia,MKD,2326451058.915,2432789853.88006,2212310805.76017
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Northern Mariana Islands,MNP,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Norway,NOR,121828335227.86,120528014880.645,125566973235.507
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Oman,OMN,43510188556.3171,42504689918.2387,41286710280.8768
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Pakistan,PAK,62352089389.0274,62506603243.4795,58853601972.3555
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Palau,PLW,17861949.168038,18862218.3214482,22363160.3583836
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Panama,PAN,16523241218.145,17000908290.4424,11763381282.8734
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Papua New Guinea,PNG,8200356037.0551,8817462167.93999,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Paraguay,PRY,13953832105.6787,13541304181.7714,13641463654.5655
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Peru,PER,63021060656.9859,62984789846.9477,54616444897.949
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Philippines,PHL,116052234064.257,122399860411.188,106339655563.133
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Poland,POL,160827430693.726,164374850775.965,155884600079.586
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Portugal,PRT,42710234948.2211,43268966778.2207,40927187819.2906
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Puerto Rico,PRI,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Qatar,QAT,96320481161.0214,94962627842.5614,91948283574.7085
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Romania,ROU,60197240854.4423,60204416406.1452,59049991282.8154
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Russian Federation,RUS,432658323122.473,439367207257.084,429146396571.928
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Rwanda,RWA,1753732572.682,2044677299.51176,1958015828.78747
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Samoa,WSM,125976492.891782,138784473.684619,128090193.297446
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,San Marino,SMR,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Sao Tome and Principe,STP,53268615.6676227,53644287.005906,55975715.0495951
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Saudi Arabia,SAU,296773784415.515,290301443748.314,272980241537.547
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Senegal,SEN,4953299624.78754,5201892100.92387,5181555541.10545
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Serbia,SRB,11114679075.1658,11798077083.9413,11727923191.6877
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Seychelles,SYC,266592653.901136,250495801.202755,242597847.028812
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Sierra Leone,SLE,205443817.976298,227782906.581055,211630933.026307
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Singapore,SGP,86860399152.2905,85854571216.19,86151024327.3421
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Sint Maarten (Dutch part),SXM,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Slovak Republic,SVK,29051483309.0992,30250603789.3097,26282323313.239
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Slovenia,SVN,13932246566.6609,14926063891.1031,14461478667.9246
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Solomon Islands,SLB,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Somalia,SOM,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,South Africa,ZAF,82063849706.2108,80698626867.9288,70537828893.9808
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,South Sudan,SSD,3884626311.56671,4697648996.24588,5988930830.26641
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Spain,ESP,259964417837.891,266267560569.531,238458729478.906
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Sri Lanka,LKA,24540597475.9585,25187657700.5818,23446306859.7971
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,St. Kitts and Nevis,KNA,223723040.312168,250730414.292803,219885927.069018
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,St. Lucia,LCA,200795907.700175,197855349.458621,178154595.362441
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,St. Martin (French part),MAF,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,St. Vincent and the Grenadines,VCT,127872906.686573,120829032.19624,111433777.037975
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Sudan,SDN,13707209437.6617,13611258956.8974,12835417211.9737
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Suriname,SUR,1513599863.43542,1436504702.83192,1191550489.05413
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Sweden,SWE,117480817905.179,117733104823.456,113492123789.335
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Switzerland,CHE,192955864371.425,198096062810.497,192549796642.731
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Syrian Arab Republic,SYR,3241750364.94213,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Tajikistan,TJK,3905658728.16504,4404828037.57643,4810474167.71883
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Tanzania,TZA,15739816164.1854,17365913286.7476,17804781896.5092
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Thailand,THA,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Timor-Leste,TLS,243284400,529556900,769616900
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Togo,TGO,821254291.819779,874975541.863709,921501333.493509
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Tonga,TON,71610369.3591419,74878173.7157842,72677719.635957
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Trinidad and Tobago,TTO,8867094674.18018,8697950299.31455,7802423014.67783
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Tunisia,TUN,11320352038.8258,11189182918.3381,10154880224.6961
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Turkiye,TUR,276474960472.413,268360513420.727,270928838487.067
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Turkmenistan,TKM,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Turks and Caicos Islands,TCA,110896205.345917,122285539.779485,119962292.949361
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Tuvalu,TUV,..,..,..
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Uganda,UGA,9966513938.70216,10867380786.5306,11220376013.8395
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Ukraine,UKR,21259008037.994,21753403573.7613,21049325777.2136
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,United Arab Emirates,ARE,163319095429.906,167502999444.343,158313179936.02
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,United Kingdom,GBR,551345305431.111,564817348679.192,503678328873.675
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,United States,USA,3619131390000,3705230343000,3733303241000
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,Uruguay,URY,13312869067.2647,13433733928.4796,12810335864.1223
